
2025/03/02 (05:11:08) | ===> btop++ v.1.4.0
2025/03/02 (05:11:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (05:11:21) | ===> btop++ v.1.4.0
2025/03/02 (05:11:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (05:11:38) | ===> btop++ v.1.4.0
2025/03/02 (05:11:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (05:26:24) | ===> btop++ v.1.4.0
2025/03/02 (05:26:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:06:30) | ===> btop++ v.1.4.0
2025/03/03 (01:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:15:53) | ===> btop++ v.1.4.0
2025/03/03 (01:15:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (02:31:53) | ===> btop++ v.1.4.0
2025/03/03 (02:31:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (02:34:03) | ===> btop++ v.1.4.0
2025/03/03 (02:34:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:30:37) | ===> btop++ v.1.4.0
2025/03/04 (21:30:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:31:42) | ===> btop++ v.1.4.0
2025/03/04 (21:31:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:32:27) | ===> btop++ v.1.4.0
2025/03/04 (21:32:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:36:06) | ===> btop++ v.1.4.0
2025/03/04 (21:36:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:46:42) | ===> btop++ v.1.4.0
2025/03/04 (21:46:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:46:42) | ===> btop++ v.1.4.0
2025/03/04 (21:46:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:47:27) | ===> btop++ v.1.4.0
2025/03/04 (21:47:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:52:01) | ===> btop++ v.1.4.0
2025/03/04 (21:52:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (14:57:40) | ===> btop++ v.1.4.0
2025/03/05 (14:57:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (01:39:05) | ===> btop++ v.1.4.0
2025/03/06 (01:39:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (05:06:51) | ===> btop++ v.1.4.0
2025/03/06 (05:06:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (21:37:46) | ===> btop++ v.1.4.0
2025/03/06 (21:37:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (22:43:04) | ===> btop++ v.1.4.0
2025/03/06 (22:43:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (23:49:17) | ===> btop++ v.1.4.0
2025/03/06 (23:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:40:48) | ===> btop++ v.1.4.0
2025/03/07 (22:40:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:42:49) | ===> btop++ v.1.4.0
2025/03/07 (22:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:42:49) | ===> btop++ v.1.4.0
2025/03/07 (22:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:44:17) | ===> btop++ v.1.4.0
2025/03/07 (22:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (00:55:17) | ===> btop++ v.1.4.0
2025/03/08 (00:55:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (00:57:50) | ===> btop++ v.1.4.0
2025/03/08 (00:57:50) | WARNING: Intel GPU: Failed to initialize PMU
